O_id,D_id,O_lng,O_lat,D_lng,D_lat,c_1,c_2,c_3
a111,b59,889898.6054375658,334168.1847814049,1042324.9933363084,536106.3218914666,0.01520351590976691,0.6363321790558715,0.34846430503436154
a111,b64,889898.6054375658,334168.1847814049,772369.3865635801,548593.0276144278,0.03665623024007299,0.6958159287025458,0.2675278410573812
a111,b65,889898.6054375658,334168.1847814049,851200.168947594,531448.8914923286,0.012447568190960325,0.5072160617268603,0.4803363700821794
a111,b66,889898.6054375658,334168.1847814049,670344.0565277844,479046.7735054273,0.0,0.1939347026217455,0.8060652973782545
a111,b67,889898.6054375658,334168.1847814049,344534.61309654603,513951.23295059486,0.025012345683233756,0.6787424313086399,0.29624522300812633
a111,b69,889898.6054375658,334168.1847814049,325993.8291348114,611148.309095296,0.018581409841092,0.2418408279688982,0.7395777621900098
a111,b70,889898.6054375658,334168.1847814049,197992.53619396227,643081.6452189127,0.0,0.08314257013160622,0.9168574298683938
a111,c1,889898.6054375658,334168.1847814049,1029495.6787346387,1093358.4854667636,0.7136194720218135,0.0,0.2863805279781864
a111,c10,889898.6054375658,334168.1847814049,284551.77049970883,1053495.2482449873,0.9027058936855845,0.0,0.09729410631441551
a111,c100,889898.6054375658,334168.1847814049,776208.0093587819,893665.6834981428,0.9103029630038006,0.0,0.08969703699619933
a111,c101,889898.6054375658,334168.1847814049,825319.2245124967,809434.179252157,0.5310388802557244,0.0,0.46896111974427546
a111,c102,889898.6054375658,334168.1847814049,702193.313825871,871497.7567455291,0.7358439322705983,0.0,0.2641560677294017
a111,c103,889898.6054375658,334168.1847814049,707969.2042577951,787116.6524582781,0.4534258658070867,0.0,0.5465741341929132
a111,c104,889898.6054375658,334168.1847814049,774132.1324131034,736197.0391166651,0.3422953557232586,0.0,0.6577046442767414
a111,c105,889898.6054375658,334168.1847814049,60368.959449497386,872336.5991382409,0.6906701528625104,0.0,0.30932984713748957
a111,c106,889898.6054375658,334168.1847814049,139984.27743806786,884507.0658766379,0.7535651329102152,0.0,0.24643486708978485
a111,c107,889898.6054375658,334168.1847814049,120016.08638235273,815226.3201256018,0.6758139601232056,0.0,0.3241860398767944
a111,c108,889898.6054375658,334168.1847814049,23064.110655108896,847217.0580075011,0.664394653141109,0.0,0.33560534685889093
a111,c109,889898.6054375658,334168.1847814049,36946.55334075983,952859.5970331046,0.7133697187400457,0.0,0.2866302812599542
a111,c11,889898.6054375658,334168.1847814049,890466.0589397129,1068261.6445746098,0.7119777205607645,0.0,0.28802227943923564
a111,c110,889898.6054375658,334168.1847814049,111266.20677200476,958874.3636719271,0.7329008946330459,0.0,0.2670991053669541
a111,c12,889898.6054375658,334168.1847814049,987301.9510510532,1056522.7198430013,0.7152472275769063,0.0,0.28475277242309366
a111,c13,889898.6054375658,334168.1847814049,931738.1209791275,792376.6428790938,0.7907170799179761,0.0,0.20928292008202387
a111,c134,889898.6054375658,334168.1847814049,57163.48514082397,750775.937193706,0.5352359237081397,0.0,0.4647640762918604
a111,c135,889898.6054375658,334168.1847814049,41373.984119039116,796477.1752643737,0.6219957840774709,0.0,0.378004215922529
a111,c136,889898.6054375658,334168.1847814049,122459.54909320513,766288.2074491527,0.37658648770205844,0.0,0.6234135122979416
a111,c137,889898.6054375658,334168.1847814049,20852.555120490008,772703.64882607,0.614562626002837,0.0,0.3854373739971631
a111,c138,889898.6054375658,334168.1847814049,104919.85673231333,704825.4490640372,0.21452798736305462,0.026222891494024507,0.7592491211429209
a111,c139,889898.6054375658,334168.1847814049,35384.528283531174,673244.3521727859,0.20532880229953265,0.4925548871965543,0.3021163105039129
a111,c14,889898.6054375658,334168.1847814049,1047978.4101708014,754614.1145684763,0.07630169759057341,0.00010006487276235746,0.9235982375366641
a111,c15,889898.6054375658,334168.1847814049,956733.4992490832,936424.6213290439,0.7307129461650717,0.0,0.2692870538349283
a111,c16,889898.6054375658,334168.1847814049,939901.8635137879,1006756.500805899,0.9312000039870932,0.0,0.06879999601290678
a111,c17,889898.6054375658,334168.1847814049,1003185.1132216303,947494.7985941062,0.7283633187718147,0.0,0.27163668122818535
a111,c18,889898.6054375658,334168.1847814049,984537.5483315206,867397.0043435318,0.7359835497877618,0.0,0.2640164502122382
a111,c189,889898.6054375658,334168.1847814049,14910.218240691096,738306.4254867259,0.3929300610869206,0.2807209225435068,0.3263490163695726
a111,c190,889898.6054375658,334168.1847814049,103623.89465635251,1079859.599737932,0.718913568771774,0.0,0.28108643122822585
a111,c191,889898.6054375658,334168.1847814049,961330.7802811429,1099639.7470421973,0.7060126671716445,0.0,0.2939873328283555
a111,c192,889898.6054375658,334168.1847814049,1086408.617344724,1070764.23352372,0.729252336313359,0.0,0.27074766368664094
a111,c2,889898.6054375658,334168.1847814049,1039463.4391635872,1050743.2393135552,0.8998067630364953,0.016966120382011063,0.0832271165814937
a111,c21,889898.6054375658,334168.1847814049,179794.43967120766,1021967.9125518544,0.9382514361261697,0.0,0.06174856387383023
a111,c22,889898.6054375658,334168.1847814049,107708.62471309282,1032704.6443301798,0.7234420323666629,0.0,0.2765579676333371
a111,c3,889898.6054375658,334168.1847814049,1056691.473846119,996044.2766450125,0.9270799132834052,0.0,0.07292008671659475
a111,c34,889898.6054375658,334168.1847814049,512732.31188483926,982248.0094862839,0.7328788979387961,0.0,0.2671211020612039
